ID,t0,t,x,y,z,FI,TL
6002,39,42,301.98062,648.68225,27.291845,368.0,37
6002,39,43,302.02975,648.1786,27.56556,446.2,37
6002,39,44,302.4125,647.7518,27.445787,416.8,37
6002,39,45,302.24127,647.2417,27.301521,470.5,37
6002,39,46,302.5104,646.491,27.553402,430.8,37
6002,39,47,302.48193,646.49725,28.041824,444.0,37
6002,39,48,302.42648,646.63995,27.397034,531.0,37
6002,39,49,302.77377,646.527,27.907623,476.8,37
6002,39,50,303.25723,645.841,27.842007,457.8,37
6002,39,51,303.6673,645.66797,26.902163,335.8,37
6002,39,52,303.48828,644.82434,27.260689,320.0,37
6002,39,53,302.30002,639.43634,25.209776,318.2,37
6002,39,55,301.69937,638.6923,25.283216,301.5,37
6002,39,56,302.4624,638.60657,26.950335,301.0,37
6002,39,57,302.17853,638.26636,26.007605,317.0,37
6002,39,58,301.95734,638.6486,26.082613,277.0,37
6002,39,59,302.6138,638.7217,25.761955,311.5,37
6002,39,60,302.70084,638.5092,27.13892,310.2,37
6002,39,61,302.50217,638.1592,26.183693,321.0,37
6002,39,62,302.30682,638.6388,26.644287,323.8,37
6002,39,63,303.15338,639.0783,26.284359,322.8,37
6002,39,67,304.79013,648.33936,25.544216,297.5,37
6002,39,68,304.7026,648.35657,26.746426,296.0,37
6002,39,71,298.10464,651.12,26.132278,327.5,37
6002,39,72,297.0789,652.0131,26.377872,363.8,37
6002,39,73,295.64432,651.6761,25.684187,325.2,37
6002,39,74,296.65475,649.13306,25.5741,289.2,37
6002,39,76,298.17963,648.6934,27.238209,263.8,37
6002,39,77,298.04044,648.6775,27.00067,288.2,37
6002,39,78,296.8418,647.351,26.894337,257.8,37
6002,39,80,296.6801,644.11487,25.37144,284.2,37
6002,39,83,292.90692,641.462,21.471746,299.5,37
6002,39,84,291.3416,639.1702,20.71419,299.8,37
6002,39,85,290.92447,638.7795,20.094614,288.0,37
6416,44,44,433.93884,563.02057,91.847435,386.8,37
6416,44,49,432.49542,572.27844,98.46624,534.0,37
6416,44,50,431.7213,572.49133,98.77415,490.0,37
6416,44,51,432.3309,572.9732,98.566475,514.0,37
6416,44,52,432.67477,573.5355,99.192795,477.5,37
6416,44,53,431.92065,573.94543,100.0593,549.0,37
6416,44,54,432.08182,573.88104,100.782486,531.0,37
6416,44,55,432.1051,574.51086,100.11161,596.0,37
6416,44,56,431.43988,574.6216,99.98185,583.0,37
6416,44,57,431.593,574.7409,100.83562,535.0,37
6416,44,58,431.47934,575.08875,100.60228,517.0,37
6416,44,59,431.16116,575.2172,100.52771,480.2,37
6416,44,60,431.67673,575.4067,100.697334,532.5,37
6416,44,61,431.0707,575.39746,100.49789,502.8,37
6416,44,62,431.16153,575.3663,101.19983,500.2,37
6416,44,63,430.23987,575.036,102.45017,453.0,37
6416,44,64,429.7844,575.22314,102.14719,465.0,37
6416,44,65,429.89975,576.38293,101.47224,492.0,37
6416,44,66,430.04007,576.62195,102.63186,496.2,37
6416,44,67,429.4145,576.2315,103.98532,482.5,37
6416,44,68,429.24033,576.9071,104.02177,438.8,37
6416,44,69,429.23364,577.14746,103.44053,440.0,37
6416,44,70,429.90674,578.0009,103.48741,438.0,37
