ID (CME),Track Length (CME),Track Coverage,Missing Time Points,Dino Data
4001.0,18.0,0,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0]","865.0,1,18.069998551270995;932.0,3,23.539836780192765;1085.0,5,27.41306113890597;2600.0,8,11.316599018609764;2914.0,10,14.75627573156584"
4002.0,19.0,0,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0]","1447.0,1,16.058902755755184;1398.0,2,27.01390915756729;1531.0,4,26.68233620297897;1447.0,5,15.478801133692492;1349.0,6,24.423829537083247;1398.0,7,23.81970871100025;2591.0,8,22.15621257894271;2833.0,9,18.80775983097934"
4003.0,66.0,9,[12.0],"130.0,1,2.852654082784146;2412.0,5,2.0353395410910835;164.0,10,7.00573306789148"
4004.0,48.0,0,"[3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0]","1943.0,1,9.58998678038714;957.0,4,18.371358479702177;732.0,6,16.653756972203745;957.0,7,21.352157903339045;1943.0,8,10.390549292454406;956.0,10,18.316942548785946"
4005.0,16.0,10,[],"658.0,1,1.9096330280973155"
4006.0,42.0,5,"[3.0, 4.0, 5.0, 6.0, 7.0]","580.0,1,9.809466019722974;570.0,6,1.97456970692357;2516.0,9,2.798779698118453"
4007.0,19.0,0,"[3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0]","992.0,1,18.873418793443992;2281.0,3,18.996118722022583;1016.0,5,18.69125981309012;2810.0,7,17.376157811996315;1081.0,8,20.52512180206489;1016.0,9,16.212259091699696;1081.0,10,22.062015872453717"
4008.0,28.0,2,"[5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0]","1811.0,1,2.5477420789789296;2797.0,7,5.418852353497011;1811.0,8,10.519358182298944;1065.0,9,10.181629678499402"
4009.0,4.0,3,"[5.0, 6.0, 7.0, 9.0, 10.0, 11.0, 12.0]","1385.0,1,2.344778637846232;1351.0,4,12.73142397253351;2258.0,5,6.073154481330121;1351.0,7,5.184634854230337;2258.0,8,6.558753662015364;3016.0,10,5.773757638427494"
4010.0,28.0,3,"[4.0, 6.0, 7.0, 9.0, 10.0, 11.0, 12.0]","1811.0,1,24.063231638634893;964.0,2,1.919471248651552;979.0,3,20.899750109685552;964.0,5,2.1575786063779963;903.0,6,14.435362716374676;2641.0,7,6.30343064796465;903.0,8,13.927820301443454;2641.0,10,2.3253931253446534"
4011.0,13.0,0,"[4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0]","935.0,1,36.85566897314612;2187.0,2,18.755413776020188;2255.0,4,27.11027305947505;2796.0,6,23.25407589854304;827.0,7,26.507805770970123;2255.0,8,29.728367020509246;3030.0,9,33.700001895010324;2255.0,10,29.734544126933"
4012.0,42.0,5,"[5.0, 6.0, 7.0, 8.0, 13.0]","48.0,1,7.098961723603244;59.0,9,17.973996932649687;48.0,10,2.7944821164036773"
4013.0,47.0,8,"[6.0, 14.0]","2203.0,1,3.142343956368385;364.0,9,0.9275514817518236"
4014.0,33.0,0,"[5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0]","2002.0,1,46.16707712245424;2588.0,4,44.05048017324785;2002.0,5,46.30992361310479;2588.0,7,43.70878533544267;3034.0,8,47.59525425942064;2588.0,10,42.30033349370348"
4015.0,6.0,3,"[5.0, 6.0, 7.0, 11.0, 12.0, 13.0, 14.0]","224.0,1,10.617374830626291;2108.0,4,1.7864462262828007;1666.0,7,20.411086372838557;3349.0,10,32.34158637267486"
4016.0,18.0,1,"[5.0, 6.0, 7.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0]","1095.0,1,13.421505074782043;1897.0,2,11.96572494105211;1095.0,3,10.60191001062071;2629.0,4,2.6620386165493404;1095.0,6,4.200790833426488;1120.0,10,7.310394615744038"
4017.0,17.0,10,[],"720.0,1,1.4680767532373713"
4018.0,9.0,1,"[5.0, 6.0, 7.0, 8.0, 10.0, 11.0, 12.0, 13.0, 14.0]","1882.0,1,8.518145430397414;772.0,2,14.98649204367719;792.0,3,17.980358433996834;1890.0,4,4.73780516065192;828.0,6,9.691450532003744;1890.0,7,5.841429816800023"
4019.0,18.0,0,"[5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0]","1947.0,1,7.029742282644501;1289.0,4,10.078734457926757;1948.0,7,7.438702168671651;1946.0,8,7.435840504482322;1948.0,10,7.8811975171797"
4020.0,71.0,8,"[6.0, 7.0]","461.0,1,11.235792155848364;374.0,2,12.892881640831886;461.0,3,1.6003201562300005"
4021.0,28.0,3,"[6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0]","1811.0,1,13.050226938119692;2797.0,4,7.524589997401854;2808.0,5,12.056073053620128;1065.0,6,10.605913763089902;1010.0,7,10.788130440300408;1065.0,8,2.40812460265243;3377.0,9,2.9312123783001347"
4022.0,30.0,4,"[6.0, 7.0, 8.0, 9.0, 10.0, 14.0]","1351.0,1,4.03626028997143;2258.0,4,3.632603702208647;1351.0,6,3.246939081981723;2799.0,7,2.71513643496979;3288.0,8,3.2538609372406206"
