ID (CME),ID (Dino),Track Length (CME),Track Length (Dino),Match,Identical Match
[1070.0],[10475.0 11299.0 11309.0 11639.0 11990.0 12703.0 13772.0 13791.0],[30.0],[1.0 2.0 4.0 5.0 6.0 22.0],False,False
[1071.0],[5540.0 8167.0 16113.0 16519.0 19587.0 20189.0],[30.0],[2.0 5.0 9.0 10.0 34.0 59.0],False,False
[1072.0],[12601.0 14872.0 17645.0 21812.0 24797.0],[30.0],[3.0 7.0 10.0 19.0 23.0],False,False
[1073.0],[7408.0 11247.0 14451.0 22911.0 24429.0],[30.0],[4.0 6.0 21.0 22.0 28.0],False,False
[1074.0],[13276.0 14866.0 20976.0 23645.0 24421.0],[30.0],[6.0 18.0 19.0],False,False
[1075.0],[6910.0],[30.0],[57.0],True,False
[1077.0],[11926.0 16055.0 22896.0 23319.0 24784.0],[30.0],[5.0 8.0 12.0 18.0 22.0],False,False
[1078.0],[14140.0 14798.0 16821.0],[30.0],[5.0 12.0 25.0],False,False
[1079.0],[14864.0 14874.0 14885.0 17638.0 20626.0 25116.0],[30.0],[6.0 8.0 9.0 13.0 26.0 34.0],False,False
[1080.0],[6117.0 13502.0 18217.0 19377.0 19941.0 23821.0 27017.0],[30.0],[1.0 3.0 8.0 13.0 14.0 39.0],False,False
[1081.0],[5756.0 21393.0 26664.0],[30.0],[6.0 20.0 77.0],False,False
[1082.0],[14888.0 15708.0 19260.0],[30.0],[11.0 34.0 36.0],False,False
[1083.0],[458.0 22900.0 24432.0 25104.0 26895.0],[30.0],[4.0 7.0 8.0 17.0 79.0],False,False
[1084.0],[535.0 16085.0 21008.0 28588.0],[30.0],[2.0 7.0 37.0 99.0],False,False
[1085.0],[13313.0 20647.0],[30.0],[4.0 52.0],True,False
[1086.0],[21462.0],[30.0],[30.0],True,True
[1087.0],[18881.0 19641.0],[30.0],[9.0 35.0],True,False
[1088.0],[21581.0],[30.0],[30.0],True,True
[1089.0],[11029.0 22075.0],[30.0],[29.0 56.0],False,False
[1090.0],[21431.0 28592.0 29562.0],[30.0],[1.0 6.0 25.0],False,False
[1091.0],[4371.0 13614.0 16724.0 19753.0 22055.0 28182.0],[30.0],[7.0 15.0 29.0 34.0 39.0 57.0],False,False
[1092.0],[6709.0 14476.0 24085.0 27370.0],[30.0],[1.0 11.0 41.0 61.0],False,False
[1093.0],[14874.0 20626.0 23634.0 24777.0 26338.0 27875.0],[30.0],[1.0 8.0 13.0 21.0 34.0],False,False
[1094.0],[3242.0 19588.0],[30.0],[33.0 91.0],False,False
[1095.0],[167.0],[29.0],[29.0],True,True
[1096.0],[219.0],[29.0],[29.0],True,True
[1097.0],[493.0 523.0 2332.0 3623.0 4240.0],[29.0],[1.0 11.0 16.0 29.0 68.0],False,False
[1098.0],[658.0 686.0 3838.0],[29.0],[12.0 13.0 41.0],True,False
[1099.0],[1367.0 4114.0 4579.0 5656.0],[29.0],[5.0 14.0 17.0],True,False
[1100.0],[1326.0 4960.0],[29.0],[17.0 18.0],True,False
[1101.0],[1082.0 1119.0 1314.0 2031.0 6104.0],[29.0],[2.0 3.0 11.0 26.0 29.0],False,False
[1102.0],[376.0 5044.0 6898.0 6900.0],[29.0],[4.0 18.0 20.0 32.0],False,False
