ID (GT),Track Length (GT),Track Coverage,Missing Time Points,Dino Data
993,15.0,15,[],"275,1,62.0;4649,6,14.0;4806,7,4.0;275,8,62.0;4649,10,14.0;4221,11,27.0;6054,13,15.0;4644,14,29.0"
994,14.0,14,[],"2907,1,22.0"
995,12.0,12,[],"1756,1,20.0"
996,7.0,7,[],"584,1,15.0"
997,6.0,5,[20.0],"454,1,26.0;3596,2,9.0"
998,12.0,12,[],"2371,1,12.0;1609,3,13.0;532,4,26.0;189,9,18.0;532,11,26.0"
999,13.0,12,[31.0],"3408,1,6.0;450,4,15.0;3408,7,6.0;450,9,15.0;3088,10,17.0;3412,12,27.0"
1000,22.0,21,[21.0],"991,1,21.0;575,3,54.0;3752,4,10.0;934,5,21.0;3301,13,36.0"
1001,15.0,15,[],"593,1,26.0;1483,6,13.0;3130,7,11.0;3925,11,13.0;22,13,37.0;3996,14,13.0"
1002,15.0,15,[],"2827,1,27.0"
1003,19.0,19,[],"1038,1,26.0;549,12,49.0;3891,13,12.0"
1004,5.0,5,[],"3467,1,16.0"
1005,10.0,10,[],"2257,1,14.0;27,4,59.0;2508,6,19.0;3405,7,48.0;992,9,25.0"
1006,8.0,8,[],"1777,1,27.0"
1007,10.0,10,[],"4186,1,19.0"
1008,5.0,5,[],"983,1,23.0"
1009,36.0,34,"[34.0, 37.0]","1695,1,6.0;1104,2,23.0;445,4,34.0;4111,7,23.0;1104,13,23.0;4742,14,12.0;4516,15,7.0;4746,16,12.0;4557,18,9.0;5240,19,22.0;3256,23,36.0"
1010,70.0,70,[],"2342,1,33.0;2517,14,13.0;3909,15,37.0;3809,30,31.0;5307,37,8.0;5303,38,14.0;6040,39,4.0;6384,40,24.0;7153,52,8.0;6741,56,39.0"
1011,24.0,23,[21.0],"2337,1,6.0;2264,2,27.0;2959,8,9.0;2264,10,27.0;2999,13,12.0;1324,16,35.0;4335,17,15.0"
1012,12.0,12,[],"4235,1,23.0"
1013,12.0,12,[],"3262,1,13.0;2749,12,16.0"
1014,10.0,10,[],"3613,1,21.0"
1015,15.0,15,[],"3439,1,19.0"
1016,5.0,4,[21.0],"2780,1,20.0;3388,2,11.0"
1017,15.0,15,[],"3010,1,17.0"
1018,4.0,4,[],"4727,1,24.0;3616,2,32.0"
1019,16.0,16,[],"2802,1,23.0"
1020,13.0,12,[21.0],"1582,1,13.0;2949,2,22.0"
1021,11.0,11,[],"3572,1,52.0"
1022,37.0,37,[],"2040,1,42.0;1124,3,41.0;4929,21,41.0"
1023,29.0,29,[],"2744,1,18.0;2351,2,16.0;2744,3,18.0;3941,5,29.0;1096,15,38.0"
1024,23.0,20,"[31.0, 32.0, 34.0]","2716,1,21.0;1250,2,55.0;691,10,20.0;1250,11,55.0;4089,13,31.0;1250,15,55.0"
1025,10.0,10,[],"838,1,22.0"
1026,14.0,14,[],"3532,1,35.0;3611,2,11.0;3767,3,13.0;2674,4,12.0;3965,5,16.0"
1027,10.0,10,[],"3589,1,44.0"
1028,9.0,9,[],"1104,1,23.0;2972,2,19.0;556,3,24.0;2972,6,19.0"
1029,13.0,13,[],"335,1,31.0;404,4,73.0;3194,10,31.0;363,11,15.0;1470,13,32.0"
1030,4.0,4,[],"3616,1,32.0"
1031,14.0,14,[],"3195,1,29.0;1631,4,32.0;3975,5,10.0"
1032,74.0,72,"[26.0, 94.0]","203,1,15.0;2346,2,13.0;168,3,26.0;3001,4,9.0;1442,5,15.0;4048,6,21.0;3483,7,43.0;1419,29,51.0;5079,47,31.0;6759,53,40.0;8120,72,16.0;6759,73,40.0;10726,74,6.0"
1033,12.0,10,"[25.0, 26.0]","350,1,35.0;889,4,31.0;3204,6,23.0"
1034,5.0,4,[24.0],"2852,1,11.0;2525,2,16.0"
1035,9.0,9,[],"2908,1,8.0;1458,5,40.0"
1036,6.0,5,[25.0],"2322,1,15.0;1338,6,19.0"
1037,6.0,6,[],"1310,1,31.0"
1038,16.0,16,[],"3796,1,8.0;3318,5,10.0;4237,6,18.0;5127,13,13.0"
1039,23.0,21,"[31.0, 33.0]","3080,1,13.0;2839,9,13.0;4490,10,13.0;3875,11,6.0;4702,12,15.0"
1040,4.0,4,[],"3540,1,5.0;693,4,26.0"
1041,21.0,21,[],"2919,1,37.0"
1042,16.0,16,[],"3642,1,16.0"
1043,46.0,46,[],"1020,1,13.0;3593,6,50.0"
1044,15.0,14,[25.0],"3633,1,7.0;2921,5,15.0;4114,6,55.0"
1045,13.0,13,[],"2797,1,18.0"
1046,19.0,18,[38.0],"1114,1,21.0;1130,10,26.0"
1047,15.0,15,[],"3179,1,19.0"
1048,18.0,18,[],"276,1,70.0;3957,11,12.0;4021,12,23.0;3865,13,30.0"
1049,26.0,25,[44.0],"3353,1,26.0;5852,23,13.0;5359,24,5.0;2572,25,55.0;1346,26,32.0"
1050,12.0,12,[],"3038,1,28.0"
1051,24.0,24,[],"4464,1,20.0;3835,17,36.0"
1052,5.0,4,[24.0],"3165,1,5.0;3029,2,7.0;3031,3,6.0;196,5,25.0"
1053,5.0,5,[],"3638,1,10.0"
1054,4.0,3,[23.0],"3618,1,11.0;3904,3,7.0"
1055,65.0,65,[],"524,1,35.0;1659,2,8.0;2909,4,11.0;524,8,35.0;4786,16,6.0;524,17,35.0;3723,18,54.0;5495,24,24.0;524,25,35.0;3723,26,54.0;5495,30,24.0;5542,41,40.0"
1056,19.0,18,[39.0],"1050,1,33.0;1615,17,59.0;5467,18,29.0"
1057,12.0,11,[44.0],"3919,1,14.0;3920,2,17.0;4431,11,51.0;3919,12,14.0"
1058,30.0,30,[],"2732,1,14.0;1399,6,74.0"
1059,9.0,9,[],"1816,1,33.0"
1060,18.0,18,[],"403,1,35.0;881,2,26.0;3874,3,30.0;4056,4,15.0;403,7,35.0"
1061,6.0,6,[],"2586,1,14.0"
1062,18.0,18,[],"3728,1,16.0;4527,15,4.0;2437,16,36.0;5256,17,6.0"
1063,10.0,10,[],"2976,1,7.0;3729,2,4.0;3730,3,13.0;3225,4,32.0;2730,5,29.0;4018,6,35.0"
1064,7.0,6,[44.0],"3190,1,21.0"
1065,14.0,14,[],"4565,1,25.0;3499,11,21.0;727,13,54.0"
