ID (GT),ID (Dino),Track Length (GT),Track Length (Dino),Match,Identical Match
[183],[454],[4.0],[26.0],True,False
[184],[513],[5.0],[13.0],False,False
[185],[536],[10.0],[14.0],True,False
[186],[397],[20.0],[57.0],True,False
[187],[246],[6.0],[6.0],True,True
[188],[445 730],[28.0],[12.0 34.0],False,False
[189],[558 743],[16.0],[16.0 20.0],True,False
[190],[893 2382],[12.0],[24.0 32.0],False,False
[191],[606],[24.0],[27.0],True,False
[192],[30 507 593],[11.0],[4.0 26.0 27.0],True,False
[193],[679 2915],[21.0],[22.0 37.0],True,False
[194],[377 2087],[12.0],[9.0 24.0],True,False
[195],[798 3347],[27.0],[21.0 53.0],True,False
[196],[477],[7.0],[9.0],True,False
[197],[626 638 1007 1439 1642 2142 2642 3489],[31.0],[6.0 10.0 14.0 16.0 18.0 21.0 34.0 52.0],False,False
[198],[493],[12.0],[13.0],True,False
[199],[416 487],[14.0],[8.0 15.0],True,False
[200],[173 523 2800],[21.0],[8.0 25.0 41.0],True,False
[201],[696 1735 2255],[21.0],[17.0 34.0 37.0],True,False
[202],[539 1178],[10.0],[7.0 11.0],True,False
[203],[552 650 662 2035 2145],[12.0],[5.0 7.0 8.0 12.0 15.0],False,False
[204],[319 457],[7.0],[7.0],True,False
[205],"[94 441 688 1314 1606 2407 3060 3134 3239 3503 3504 3678 3787 3835 4747
 5748 7228]",[75.0],[6.0 7.0 8.0 10.0 12.0 13.0 18.0 19.0 20.0 21.0 23.0 28.0 32.0 36.0 38.0],True,False
[206],[692],[10.0],[10.0],True,True
[207],[193],[29.0],[36.0],True,False
[208],[311],[6.0],[44.0],False,False
[209],[156 160 163],[16.0],[7.0 24.0 47.0],False,False
[210],[585],[9.0],[9.0],True,True
[211],[333 878],[20.0],[11.0 19.0],True,False
[212],[132 136],[7.0],[7.0 33.0],True,False
[213],[108],[20.0],[21.0],True,False
[214],[466 1023 1300 1687],[5.0],[5.0 10.0 17.0 68.0],True,False
[215],[749],[10.0],[12.0],True,False
[216],[399 563 1668],[10.0],[7.0 13.0 14.0],True,False
[217],[396],[24.0],[37.0],True,False
[218],[322 1592 2066 2419 3671 4062],[14.0],[7.0 8.0 20.0 21.0 40.0 51.0],False,False
[219],[267],[9.0],[33.0],True,False
[220],[521 720],[10.0],[9.0 26.0],True,False
[221],[709 1773 2039 4765],[39.0],[10.0 27.0 48.0 75.0],True,False
[222],[515],[5.0],[8.0],True,False
