ID (GT),ID (Dino),x (GT),y (GT),z (GT),x (Dino),y (Dino),z (Dino),t,t_start (GT),t_start (Dino),FI (GT),FI (Dino),Track Length (GT),Track Length (Dino),Feature 0,Feature 1,Feature 2,Distance,Multi ID (Dino),Multi Distance (Dino)
5,1148,458.545,340.909,6.818,457.0218,341.7828,6.0937304,6.0,0.0,1.0,1.0,4.86,34.0,14.0,9.22,-1.708,-0.06494,1.8995344517760882,1148,1.90
5,1148,457.545,340.727,6.636,457.60034,340.71188,5.371059,7.0,0.0,1.0,1.0,3.357,34.0,14.0,8.2,0.03174,0.02675,1.2662412343155627,1148,1.27
5,1148,451.727,342.364,6.455,452.1765,342.07144,5.235202,8.0,0.0,1.0,1.0,3.932,34.0,14.0,7.66,0.9673,0.705,1.3324971911430015,1148,1.33
5,1148,446.0,343.0,6.182,445.73898,342.88263,4.9864936,9.0,0.0,1.0,1.0,3.838,34.0,14.0,6.332,-0.417,0.309,1.2292854468108476,1148,1.23
5,790,446.727,343.091,6.182,448.26968,344.34592,5.9131246,10.0,0.0,0.0,1.0,4.39,34.0,27.0,9.93,-2.508,-0.1118,2.006733607015426,790,2.01
5,790,447.091,342.182,6.273,448.2477,343.49057,5.839331,11.0,0.0,0.0,1.0,4.516,34.0,27.0,8.07,-2.74,-0.12195,1.7995497038039645,790,1.80
5,790,446.545,341.273,6.182,446.7039,341.2293,4.725615,12.0,0.0,0.0,1.0,3.186,34.0,27.0,4.36,-1.373,1.71,1.4656794220514209,790,1.47
5,790,447.818,340.727,6.182,447.9006,340.8042,4.6864705,13.0,0.0,0.0,1.0,2.95,34.0,27.0,7.066,0.233,0.3022,1.49979701472241,790,1.50
5,1111,441.818,342.455,6.0,441.61826,342.8868,4.7521796,14.0,0.0,1.0,1.0,3.545,34.0,13.0,6.793,-1.039,-0.02586,1.3354411474326204,1111,1.34
5,767,434.909,344.182,5.636,435.2649,344.20248,4.683906,15.0,0.0,0.0,1.0,4.2,34.0,25.0,12.05,-1.136,0.2266,1.0166450832203007,767,1.02
5,767,429.273,345.545,5.636,429.0327,345.4945,4.566026,16.0,0.0,0.0,1.0,3.268,34.0,25.0,6.926,0.867,0.1741,1.097788094613903,767,1.10
5,767,429.455,345.364,5.455,429.29965,345.28854,4.190958,17.0,0.0,0.0,1.0,3.455,34.0,25.0,6.8,-0.6123,0.4429,1.2757860368666816,767,1.28
5,767,430.091,345.636,5.364,430.07373,345.562,4.2910166,18.0,0.0,0.0,1.0,3.865,34.0,25.0,4.582,0.6177,0.636,1.0756707812223782,767,1.08
5,767,430.091,345.0,5.182,430.00925,344.99777,4.0773816,19.0,0.0,0.0,1.0,3.348,34.0,25.0,4.72,-0.798,1.2,1.1076415688382957,767,1.11
5,767,426.273,347.091,5.182,426.4351,347.02444,4.1523604,20.0,0.0,0.0,1.0,3.379,34.0,25.0,10.05,-0.2686,0.304,1.0444445171899477,767,1.04
5,767,423.636,347.0,5.455,423.38998,346.92062,4.4890685,21.0,0.0,0.0,1.0,4.39,34.0,25.0,8.09,-1.016,-0.1829,0.9999253409591508,767,1.00
