ID (Dino),Missing Time Points,ID (CME),x (Dino),y (Dino),z (Dino),x (CME),y (CME),z (CME),t,t_start (Dino),t_start (Dino).1,FI (Dino),FI (CME),Track Length (Dino),Track Length (CME),Distance,Multi ID (CME),Multi Distance (CME)
3.0,44,152.0,258.15765,181.4416,4.1061435,286.36,181.74,13.409999999999997,44.0,1.0,1.0,275.5,198.68,75.0,61.0,29.698877653121738,,
3.0,45,152.0,258.77576,181.3186,3.8497736,285.53,182.13,13.879999999999995,45.0,1.0,1.0,265.5,168.41,75.0,61.0,28.584141924725603,,
3.0,46,152.0,258.4509,180.9417,4.1068063,286.09,180.92,13.919999999999987,46.0,1.0,1.0,264.2,137.36,75.0,61.0,29.329491817856624,,
3.0,47,152.0,259.4228,181.49994,4.5863137,285.27,179.47,14.02000000000001,47.0,1.0,1.0,264.2,136.1,75.0,61.0,27.58972347542482,,
3.0,48,152.0,260.00516,182.24657,3.9571717,285.17,178.93,13.460000000000008,48.0,1.0,1.0,259.8,125.39,75.0,61.0,27.10299899438773,,
3.0,49,152.0,260.05518,182.4737,4.150518,285.42,180.57,13.879999999999995,49.0,1.0,1.0,262.0,138.65,75.0,61.0,27.23345345913229,,
3.0,50,152.0,262.33777,182.68056,4.3576245,285.56,180.38,13.78,50.0,1.0,1.0,259.2,84.433,75.0,61.0,25.166360534441633,,
3.0,51,152.0,261.17603,182.6655,4.242095,285.7,180.19,13.689999999999998,51.0,1.0,1.0,248.1,115.23,75.0,61.0,26.39727474001669,,
3.0,52,152.0,262.03815,183.10762,4.5225034,284.91,179.44,14.009999999999993,52.0,1.0,1.0,241.1,126.09,75.0,61.0,25.03169092614228,,
3.0,53,152.0,259.96896,183.46198,3.9715889,284.13,176.33,13.759999999999993,53.0,1.0,1.0,236.0,134.41,75.0,61.0,27.02654222176051,,
3.0,54,152.0,260.99512,182.63147,3.9141073,283.36,173.23,13.509999999999993,54.0,1.0,1.0,243.2,202.92,75.0,61.0,26.089397315484593,,
3.0,55,152.0,259.09628,182.02484,4.234547,284.48,174.88,14.509999999999993,55.0,1.0,1.0,229.8,211.08,75.0,61.0,28.301358872308786,,
3.0,56,152.0,259.09198,181.74678,4.282583,284.04,174.78,14.629999999999995,56.0,1.0,1.0,223.9,206.01,75.0,61.0,27.892808464919607,,
3.0,57,152.0,258.6412,181.6592,3.9514418,284.08,175.22,14.360000000000014,57.0,1.0,1.0,215.6,211.54,75.0,61.0,28.23001817007537,,
3.0,58,152.0,258.9578,181.02841,4.2642126,283.98,174.68,14.139999999999986,58.0,1.0,1.0,214.5,198.56,75.0,61.0,27.63953652176712,,
3.0,59,152.0,259.19397,180.35558,3.939184,284.21,174.43,14.150000000000006,59.0,1.0,1.0,217.5,129.06,75.0,61.0,27.66179709785964,,
3.0,60,152.0,259.50204,181.52895,3.811238,284.43,174.17,14.169999999999987,60.0,1.0,1.0,210.8,156.82,75.0,61.0,27.979658415297777,,
3.0,61,152.0,258.66302,181.21188,3.6019096,284.76,175.13,13.560000000000002,61.0,1.0,1.0,213.4,126.3,75.0,61.0,28.586801042952864,,
3.0,65,2323.0,267.09854,181.78932,4.8415704,292.9,178.6,13.27000000000001,65.0,1.0,1.0,274.2,41.057,75.0,11.0,27.329938267697468,,
3.0,66,2323.0,270.29892,183.82419,6.9551544,292.34,175.96,13.349999999999994,66.0,1.0,1.0,265.2,24.865,75.0,11.0,24.260023540185145,,
3.0,67,5317.0,270.1712,184.22504,7.1958537,284.24,174.29,13.949999999999989,67.0,1.0,1.0,265.5,83.286,75.0,3.0,18.500125553179473,,
3.0,68,5317.0,267.99106,181.55742,5.731155,284.22,174.7,13.159999999999997,68.0,1.0,1.0,263.0,81.273,75.0,3.0,19.12041946752283,,
3.0,69,5317.0,268.30505,181.62267,6.036213,283.86,174.09,13.439999999999998,69.0,1.0,1.0,258.5,84.329,75.0,3.0,18.80195864192796,,
3.0,70,2323.0,268.2444,182.03642,5.858899,295.48,176.9,14.050000000000011,70.0,1.0,1.0,261.8,41.525,75.0,11.0,28.900775999419164,,
3.0,71,2323.0,267.23633,181.48549,5.6941385,296.1,177.19,13.560000000000002,71.0,1.0,1.0,243.5,41.336,75.0,11.0,30.22307822420117,,
3.0,73,2323.0,267.83514,181.50826,6.398672,298.18,180.74,15.840000000000003,73.0,1.0,1.0,241.6,52.47,75.0,11.0,31.78898278100108,,
3.0,74,2323.0,269.477,183.82614,6.8985415,297.41,178.58,14.960000000000008,74.0,1.0,1.0,236.8,49.853,75.0,11.0,29.542538601935092,,
3.0,75,2323.0,268.0598,181.71455,6.5414033,298.34,180.24,15.419999999999987,75.0,1.0,1.0,237.2,57.552,75.0,11.0,31.589464843579567,,
3.0,77,2135.0,268.8925,182.88481,5.4683566,300.09,185.3,15.080000000000013,77.0,1.0,1.0,208.4,54.891,75.0,12.0,32.733787404375676,,
3.0,78,2135.0,269.07092,182.62807,6.2258887,299.46,186.12,14.090000000000003,78.0,1.0,1.0,210.2,56.259,75.0,12.0,31.583761728300928,,
3.0,79,2135.0,268.77054,182.77087,6.243428,301.66,188.72,15.509999999999993,79.0,1.0,1.0,214.4,60.049,75.0,12.0,34.683974447569966,,
