ID (Dino),Track Length (Dino),Track Coverage,Missing Time Points,CME Data
3419.0,8.0,5,"[60.0, 62.0, 63.0, 71.0, 72.0, 86.0]","4868.0,1,2.9906622243241987;951.0,2,11.012924707056705;1347.0,3,15.538513861656796;353.0,5,13.386256103787938;805.0,6,18.823240242947023;2273.0,7,1.9837072604596333;805.0,9,7.545546438038826;3357.0,10,2.2029502093556386"
3420.0,13.0,2,"[14.0, 15.0]","3150.0,1,5.5558741028932666;5417.0,4,2.8691869419254807"
3421.0,7.0,2,"[14.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0, 25.0, 26.0, 31.0, 47.0, 48.0, 55.0, 56.0]","5382.0,1,7.968011315083524;3737.0,2,3.726326786541864;309.0,10,10.002207833598575;1428.0,11,7.933889053509618;1342.0,12,7.38332355240681;7887.0,13,11.499721523210887;946.0,14,11.97671999818816;1662.0,15,1.968016779806521"
3422.0,30.0,0,"[14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 38.0, 39.0, 42.0, 49.0, 53.0, 58.0, 59.0, 61.0]","1052.0,1,16.495530926217555;525.0,7,17.961337481629823;6202.0,10,16.04859691228489;1846.0,11,17.925580307016553;525.0,12,17.5163365736018"
3423.0,21.0,0,"[14.0, 16.0, 18.0, 21.0, 23.0, 24.0]","1796.0,1,14.90734107616301;309.0,2,9.041803756745676"
3424.0,24.0,1,"[14.0, 17.0, 18.0, 19.0, 20.0, 22.0, 23.0, 24.0, 25.0, 26.0, 27.0, 28.0, 59.0]","1478.0,1,13.650884605445864;2340.0,2,10.29031607831848;7595.0,9,12.146335376565252;6768.0,10,12.62398102630071;7595.0,11,14.539035839965454;6768.0,12,13.175167802422855;3490.0,13,2.651881639063081;2566.0,14,19.112419828124832"
3425.0,16.0,1,"[14.0, 17.0, 18.0, 41.0, 42.0, 43.0, 44.0, 45.0, 46.0, 49.0, 50.0, 51.0, 58.0]","2497.0,1,14.869554567148253;822.0,2,23.6786586734237;4110.0,4,15.51418848392982;3001.0,6,17.81842525063589;6922.0,9,14.274498702444868;1728.0,12,16.05775637386803;2468.0,14,1.8116020175248104"
3426.0,17.0,0,"[14.0, 15.0, 16.0, 22.0]","2340.0,1,11.71095036224638"
3427.0,17.0,1,"[14.0, 16.0, 19.0, 24.0, 25.0, 26.0, 27.0, 28.0, 29.0, 30.0, 31.0, 47.0, 53.0, 54.0, 55.0, 59.0, 66.0, 69.0]","2340.0,1,6.440405752132392;7595.0,5,13.023027906619866;6093.0,9,10.281016877819043;1203.0,12,13.150372563562613;5664.0,16,14.346190191796577;2825.0,17,2.3509375327090174"
3428.0,15.0,0,"[14.0, 19.0, 69.0]","2685.0,1,11.192060306306402;2516.0,2,20.306830840140893;9081.0,3,23.77064293939269"
3429.0,26.0,1,"[14.0, 15.0, 19.0, 20.0, 21.0, 32.0, 36.0, 37.0, 38.0, 39.0, 40.0, 41.0, 42.0, 43.0, 44.0, 45.0, 46.0, 47.0, 52.0, 57.0, 58.0, 59.0, 60.0, 65.0, 66.0, 69.0]","1327.0,1,20.967716664787364;1418.0,2,18.24443271292915;1327.0,4,14.735299612376348;1821.0,6,4.009535178621054;2216.0,19,21.19521473032296;6969.0,20,2.4227647368450613;847.0,22,11.063222294526144;2416.0,25,32.760009427375024;7047.0,27,45.982089481425234"
3430.0,11.0,0,"[14.0, 20.0, 68.0, 69.0, 70.0, 71.0]","3720.0,1,10.383898030576034;2941.0,2,13.937379773992664;7047.0,3,65.12511954008605;847.0,6,77.19022976058108"
3431.0,29.0,3,[],"1109.0,1,2.3900453270387936"
3432.0,9.0,4,"[14.0, 15.0, 23.0, 30.0, 31.0, 32.0, 34.0, 35.0, 36.0, 37.0, 41.0, 42.0, 56.0, 57.0, 67.0, 68.0]","4405.0,1,20.344838425291037;468.0,3,20.916986537426933;1418.0,4,24.250987819117817;468.0,5,23.05017788996215;1418.0,10,20.221138267886897;2216.0,11,17.721244588168737;2238.0,13,8.031686453161676;2587.0,15,2.645457608732372;2238.0,18,2.959738849966379"
3433.0,2.0,0,"[14.0, 15.0, 18.0, 19.0, 20.0, 23.0, 24.0, 25.0, 28.0, 32.0, 34.0, 44.0, 46.0, 48.0, 49.0, 53.0, 54.0, 55.0, 56.0, 57.0, 67.0, 68.0, 69.0, 70.0, 71.0, 72.0, 73.0, 74.0, 79.0, 81.0]","9662.0,1,4.151575357837098;1109.0,2,6.347863252370781;367.0,8,4.346182970849253;1109.0,9,4.808910884108809;1497.0,10,16.800796933830195;367.0,11,16.813108031176142;5001.0,12,26.542439918137177;10061.0,13,29.883207216237697;795.0,14,32.65097230039708;2787.0,16,30.033142323146908;1205.0,21,31.379209380664715;2628.0,29,51.827394562308456"
3434.0,16.0,0,"[14.0, 15.0, 16.0, 18.0, 19.0, 20.0]","2497.0,1,15.525957745691592;2340.0,4,24.0206445164758;1478.0,5,26.619310426973872"
3435.0,5.0,0,"[14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 25.0, 26.0, 64.0, 68.0]","6691.0,1,16.536814424367698;2508.0,6,24.704016890247324;5448.0,8,24.09006414174944;7563.0,9,25.83332690620588;5448.0,11,28.33878013630085;7959.0,12,18.70532071771288;7982.0,13,11.686987820897262"
