,0,1,2,3
727,8,"3226,3224","3.36,2.58",35.0
728,8,3226,1.62,36.0
729,8,"3226,3224","3.18,3.45",37.0
730,8,"3226,3224","2.85,3.74",38.0
731,8,3226,1.70,39.0
732,8,3226,1.86,40.0
733,8,3226,2.12,41.0
734,8,3226,1.81,42.0
735,8,3226,1.78,43.0
736,8,3226,1.78,44.0
737,8,"3226,15259","2.73,3.10",45.0
738,8,"3226,15259","2.77,3.16",46.0
739,8,15259,1.87,47.0
740,8,15259,1.99,48.0
741,8,15259,1.85,49.0
742,8,15259,2.01,50.0
743,8,15259,1.81,51.0
744,8,15259,1.87,52.0
745,8,15259,1.84,53.0
746,8,15259,1.79,54.0
747,8,15259,1.83,55.0
748,8,15259,1.84,56.0
749,8,15259,1.80,57.0
750,8,15259,2.06,58.0
751,8,15259,1.73,59.0
752,8,15259,1.87,60.0
753,8,15259,1.82,61.0
754,8,15259,1.84,62.0
755,8,15259,1.99,63.0
756,8,15259,1.83,64.0
757,8,"15259,25037","4.09,2.37",65.0
758,8,"15259,25037","4.11,2.60",66.0
759,8,"15259,25037","3.66,2.85",67.0
760,8,"15259,25037","3.92,2.43",68.0
761,8,"15259,25037","3.85,1.76",69.0
762,8,"15259,27284","3.21,3.03",70.0
763,8,"15259,27284","2.85,3.19",71.0
764,8,25037,1.64,72.0
765,8,"15259,27284","2.68,3.10",73.0
766,8,25037,1.60,74.0
767,8,25037,1.58,75.0
768,8,25037,1.61,76.0
769,8,25037,1.66,77.0
770,8,"25037,27284","3.54,2.67",78.0
771,8,"27284,32316","3.51,2.68",79.0
772,8,"32316,32659","3.64,2.33",80.0
773,8,"33120,33121,32659","4.04,1.85,4.51",81.0
774,8,33120,1.72,82.0
775,8,"33120,33724","2.72,3.17",83.0
776,8,"33121,33724","3.83,1.89",84.0
777,8,33121,1.48,85.0
778,8,33121,1.27,86.0
779,8,"33120,33121","2.39,3.19",87.0
780,8,33120,1.30,88.0
781,8,35137,3.05,89.0
782,8,35137,1.33,90.0
783,8,35137,1.02,91.0
784,8,35877,0.85,92.0
785,8,35877,0.45,93.0
786,8,35877,1.43,94.0
787,8,33120,1.65,95.0
788,8,33120,1.32,96.0
789,8,33120,1.74,97.0
790,8,37218,1.45,98.0
791,8,37218,2.73,99.0
792,9,533,4.09,1.0
793,9,533,2.40,2.0
794,9,533,2.31,3.0
795,9,533,1.97,4.0
796,9,"533,2663","2.40,4.55",5.0
797,9,"533,2663","2.29,5.00",6.0
798,9,533,2.26,7.0
799,9,"533,2663","2.99,4.12",8.0
800,9,"533,2663","4.04,3.51",9.0
801,9,"533,2663","3.20,4.83",10.0
802,9,533,2.82,11.0
803,9,"533,2663","3.15,3.98",12.0
804,9,"533,2663","3.65,3.44",13.0
805,9,"533,2663","3.29,4.10",14.0
806,9,533,2.75,15.0
807,9,533,2.59,16.0
808,9,533,2.16,17.0
809,9,533,2.00,18.0
810,9,533,2.10,19.0
811,9,533,2.10,20.0
812,9,533,2.20,21.0
813,9,533,2.02,22.0
814,9,533,2.15,23.0
815,9,533,2.23,24.0
816,9,533,2.23,25.0
817,9,533,2.20,26.0
818,9,533,2.15,27.0
819,9,533,2.24,28.0
820,9,533,3.49,29.0
821,9,533,4.49,30.0
822,9,533,1.84,31.0
823,9,533,1.96,32.0
824,9,533,2.02,33.0
825,9,533,1.90,34.0
826,9,533,2.29,35.0
827,9,533,2.79,36.0
828,9,533,2.24,37.0
829,9,533,2.43,38.0
830,9,533,1.81,39.0
831,9,533,1.87,40.0
832,9,533,2.13,41.0
833,9,533,2.41,42.0
834,9,,,43.0
835,9,533,2.22,44.0
836,9,533,3.27,45.0
837,9,533,2.98,46.0
838,9,533,2.26,47.0
839,9,533,2.16,48.0
840,9,533,2.20,49.0
841,9,533,2.59,50.0
842,9,533,2.69,51.0
843,9,533,2.66,52.0
844,9,533,2.32,53.0
845,9,533,1.96,54.0
846,9,533,2.16,55.0
847,9,533,2.07,56.0
848,9,533,1.94,57.0
849,9,533,1.87,58.0
850,9,533,2.59,59.0
851,9,533,2.38,60.0
852,9,533,2.35,61.0
853,9,"533,23721","2.36,4.46",62.0
854,9,533,2.03,63.0
