ID (CME),Missing Time Points,ID (Dino),x (CME),y (CME),z (CME),x (Dino),y (Dino),z (Dino),t,t_start (CME),t_start (Dino),FI (CME),FI (Dino),Track Length (CME),Track Length (Dino),Distance
14.0,97,35883.0,391.84,151.95,81.141,398.36575,146.27007,87.06924,97.0,1.0,92.0,66.806,102.29539,99.0,6.0,10.487661672889717
18.0,34,1262.0,476.26,642.1,141.589,474.11176,639.2508,140.27934,34.0,1.0,1.0,480.35,147.0329,99.0,91.0,3.8010636739207544
18.0,36,1262.0,476.37,641.82,141.647,474.2455,639.1446,140.14706,36.0,1.0,1.0,511.94,167.10039,99.0,91.0,3.7310970790908713
18.0,47,1305.0,480.07,640.74,142.773,478.6635,644.2339,142.86336,47.0,1.0,1.0,459.88,122.49516,99.0,47.0,3.767458611531062
18.0,49,1262.0,479.96,639.17,140.936,476.89804,637.49774,142.39662,49.0,1.0,1.0,223.56,122.81198,99.0,91.0,3.7822563812623544
18.0,50,1262.0,479.31,639.91,142.181,476.17352,638.4408,142.80423,50.0,1.0,1.0,230.0,209.47241,99.0,91.0,3.519157720719549
18.0,51,1262.0,479.26,639.24,141.473,475.59335,638.64246,141.60146,51.0,1.0,1.0,184.66,213.4905,99.0,91.0,3.7172406763216186
18.0,56,17213.0,478.55,639.64,142.966,480.98566,641.51135,144.67717,56.0,1.0,50.0,322.13,216.92242,99.0,50.0,3.516033735190817
18.0,69,1262.0,478.33,638.07,143.798,475.37787,636.6645,142.15405,69.0,1.0,1.0,413.51,168.837,99.0,91.0,3.659654818340145
18.0,70,1262.0,478.39,637.63,143.844,475.55545,636.4576,141.79808,70.0,1.0,1.0,454.92,96.68846,99.0,91.0,3.687137657980774
18.0,93,35732.0,479.58,634.5,144.337,477.14,632.02026,143.77159,93.0,1.0,91.0,357.17,95.24928,99.0,9.0,3.524542372521564
18.0,94,35732.0,478.87,634.57,143.718,476.41974,632.0799,142.77187,94.0,1.0,91.0,359.73,305.97812,99.0,9.0,3.6193278456780513
18.0,96,35732.0,479.59,634.4,144.569,477.24475,631.81055,143.59323,96.0,1.0,91.0,318.15,226.01814,99.0,9.0,3.627337309639055
18.0,97,35732.0,480.15,634.1,144.923,477.45493,631.66376,143.97507,97.0,1.0,91.0,292.96,136.85762,99.0,9.0,3.754628999967899
18.0,98,35732.0,480.7,633.81,145.276,478.41223,631.2926,144.18007,98.0,1.0,91.0,395.06,240.00043,99.0,9.0,3.573829444419477
18.0,99,35732.0,480.75,633.91,145.117,478.52316,631.2939,143.84962,99.0,1.0,91.0,429.88,196.04802,99.0,9.0,3.661836651190181
19.0,43,400.0,329.81,140.89,42.370000000000005,330.58093,144.35422,43.635406,43.0,1.0,1.0,271.83,121.52061,99.0,66.0,3.76781178114514
19.0,87,11236.0,326.98,140.79,39.66999999999999,326.15085,137.24811,40.717075,87.0,1.0,32.0,116.37,137.71666,99.0,68.0,3.785345499452466
19.0,92,11236.0,326.09,142.54,40.099999999999994,325.1761,139.08939,41.16915,92.0,1.0,32.0,136.8,130.48193,99.0,68.0,3.726258754380836
19.0,93,31976.0,326.74,143.17,40.19,323.99677,145.88977,39.385933,93.0,1.0,78.0,119.07,94.72496,99.0,22.0,3.945755114840373
19.0,94,11236.0,326.69,142.54,40.44999999999999,325.8752,139.13641,41.566643,94.0,1.0,32.0,112.65,109.67027,99.0,68.0,3.673583470883555
20.0,82,33505.0,344.12,626.85,57.19,342.99805,622.9965,58.48985,82.0,1.0,82.0,32.43,64.88662,99.0,16.0,4.218749112592556
21.0,46,12714.0,318.53,178.15,31.52000000000001,306.2202,172.27208,29.407646,46.0,1.0,37.0,57.192,164.64151,99.0,48.0,13.803737138460589
21.0,47,13772.0,318.72,179.43,33.53999999999999,316.59363,178.58656,36.456615,47.0,1.0,40.0,63.952,155.56955,99.0,32.0,3.70668092351164
21.0,49,13772.0,319.54,178.91,32.94999999999999,316.87552,178.30771,35.94369,49.0,1.0,40.0,62.472,141.91028,99.0,32.0,4.052701164729544
27.0,71,24791.0,479.19,277.84,132.122,476.3091,276.75482,134.22394,71.0,1.0,64.0,79.734,118.49554,99.0,34.0,3.72764700662494
27.0,85,24791.0,478.59,280.39,131.838,475.26114,277.94574,134.33212,85.0,1.0,64.0,79.308,111.11324,99.0,34.0,4.824557018172729
27.0,86,34114.0,477.47,280.41,131.54399999999998,475.352,283.41434,131.04065,86.0,1.0,84.0,91.376,161.45703,99.0,3.0,3.7101676590283543
27.0,87,24791.0,477.6,280.15,132.236,474.99194,278.04184,134.17744,87.0,1.0,64.0,85.254,206.74792,99.0,34.0,3.8749844932335034
27.0,88,24791.0,478.38,279.74,132.027,475.35284,277.55414,134.10912,88.0,1.0,64.0,74.797,203.30508,99.0,34.0,4.275149740020793
27.0,89,24791.0,478.29,279.38,131.539,474.49402,277.8135,134.13702,89.0,1.0,64.0,75.609,121.036865,99.0,34.0,4.859330646375125
30.0,1,694.0,417.59,164.84,86.547,396.2779,160.49469,86.13434,1.0,1.0,1.0,69.24,183.5405,99.0,2.0,21.754484909592772
30.0,2,694.0,417.22,164.97,85.295,396.073,160.39005,86.91402,2.0,1.0,1.0,69.487,212.99864,99.0,2.0,21.697759717604537
30.0,3,712.0,416.36,164.04,84.099,396.34604,158.29695,85.92017,3.0,1.0,1.0,57.663,226.72556,99.0,16.0,20.901145383758273
30.0,4,712.0,416.05,163.55,84.083,396.217,159.81221,85.284805,4.0,1.0,1.0,43.088,177.299,99.0,16.0,20.217895497358924
30.0,5,712.0,416.39,161.0,86.865,396.98642,160.31165,86.43067,5.0,1.0,1.0,64.297,158.45581,99.0,16.0,19.42064327173019
30.0,6,712.0,415.42,162.57,84.052,397.272,160.9681,85.495125,6.0,1.0,1.0,57.729,153.39244,99.0,16.0,18.275628508361233
